#introduction

introduction,i-xiii
help|xPDO,122
System menu,122-126
Top Menu|System,122-126
System menu|Package Manager,122-123
Package Manager,122-123
Download Extras button,122
extras|downloading,122
add-on components|downloading,122
transport packages|downloading,122
downloading transport packages,122
System menu|System Settings,123-124
system settings|editing,123-124
Search Locally for Packages,123
Package Manager|Search Locally for Packages,123
system settings|removing,124
removing|system settings,124
System menu|Lexicon Management,124-125
Lexicon Management,124-125
System menu|Content Types,125
creating|content types,125
content types,125
MIME types,125
creating|MIME types,125
System menu|Contexts,125
contexts|creating,125
creating|contexts,125
System menu|Actions,126
actions,126
manager actions,126
Top Menu|modifying,126
Top Menu|adding menu items,126
adding|Top Menu items,126
Top Menu|removing items,126
Top Menu|editing items,126
removing|Top Menu items,126
System menu|Namespaces,126
namespaces|creating,126
Create Namespace dialog,126
dialogs|Create Namespace,126
creating|namespaces,126
Top Menu|User,126-127
User|Top Menu,126-127
User menu|profile,127
user profile,127
User menu|Reset Password,127
User menu|Recent Resources,127
user|reset password in Manager,127
reset user password in Manager,127
setting|user password,127
user|recent resources edited by,127
user|Messages,127
User menu|Messages,127
creating|messages for users,127
Top Menu|Support,127-128
Support menu,127-128
Support menu|Forums link,127-128
forums link,127-128
MODX|forums link,127-128
links|MODX forums,127-128
MODX|forums (searching),127-128
searching MODX forums,127-128
help|searching MODX forums,127-128
Support menu|Wiki link,128
help|MODX Wiki,128
MODX|Wiki link,128
Wiki,128
links|MODX wiki,128
Support menu|Bugs link,129
reporting bugs,129
bug reporting link,129
links|bug report,129
API documentation link,129
help|API documentation link,129
links|MODX API documentation,129
MODX|API documentation link,129
Resource tree|Evolution,130
resources|Evolution Resource tree,130
Evolution|editing files,130
MODX Evolution|editing files,130
editing|files in Evolution,130
files|editing in Evolution,130
Evolution|editing elements,130
MODX Evolution|editing elements,130
Evolution|Top Menu,130-132
MODX Evolution|Top Menu,130-132
Top Menu|Evolution,130-132
Evolution|missing Manager functions in,133
MODX Evolution|missing Manager functions in,133

#Chapter 4 MODX Resources

resources,135-183
MODX|resources,135-183
documents,136
resource fields,135-154
document fields,135-154
editing|resources,135-154
resources|editing,135-154
resources|creating,135-154
creating|resources,135-154
documents|creating,136
creating|documents,136
resources|page settings tab,136
page settings,136
Create/Edit Resource panel,135-154
resource fields quick reference,138
site_content table,137
resources|site_content table,137
database|site_content table,137
document fields,138

id (Resource ID) field,138
Create/Edit Resource panel|id (Resource ID) resource field,138
Resource ID resource field,139
resource fields|id (Resource ID),139
Create/Edit Resource panel|Resource ID (id) resource field,139

template (Uses Template) resource field,140
Create/Edit Resource panel|template (Uses Template) resource field,140
Uses Template resource field,140
resource fields|template (Uses Template),140

Published checkbox,141
Create/Edit Resource panel|Published checkbox,141
resource fields|published (Published),141
Published resource field,141

Resource Title (pagetitle) resource field,141
Create/Edit Resource panel|Resource Title (pagetitle) field,141

Title (pagetitle) resource field,141
pagetitle (Resource Title) resource field,141
resource fields|pagetitle (Resource Title),141

longtitle (Long Title) resource field,142
Create/Edit Resource panel|longtitle (Long Title) resource field,142
resource fields|longtitle (Long Title),142

index.php file|MODX,142
MODX|index.php file,142
files|index.php (MODX),142


description resource field,142
resource fields|description (Description),142
Create/Edit Resource panel|description (Description) resource field,142

alias (Resource Alias) resource field,142
Create/Edit Resource panel|alias (Resource Alias) resource field,142
Create/Edit Resource panel|Resource Alias (alias) resource field,142
Resource Alias (Alias) resource field,142
resource fields|alias (Alias),142
FURLs|alias field,142
system settings|automatic_alias,143
automatic_alias system setting,143

link_attributes (Link Attributes) resource field,143
Create/Edit Resource panel|link_attributes (Link Attributes) resource field,143
resource fields|link_attributes (Link Attributes),143

introtext (Summary) resource field,143
Summary (introtext) resource field,143
Create/Edit Resource panel|Summary (introtext) resource field,143
resource fields|introtext (Summary),143

parent (Resource Parent) resource field,144
Create/Edit Resource panel|parent (Parent Resource) resource field,144
resource fields|parent (Parent Resource),144

menutitle (Menu Title) resource field,144
Create/Edit Resource panel|menutitle (Menu Title) resource field,144
resource fields|menutitle (Menu Title),144

menuindex (Menu Index) resource field,145
Create/Edit Resource panel|menuindex (Menu Index) resource field,145
resource fields|menuindex (Menu Index),145

hiding|resources from menus,145
Hide From Menus checkbox,145
hidemenu (Hide From Menus) resource field,145
Create/Edit Resource panel|hidemenu (Hide From Menus) resource field,145
resource fields|hidemenu (Hide From Menus),145

Resource Content (content) resource field,145-146
content (Resource Content) resource field,145-146
Create/Edit Resource panel|content (Resource Content) resource field,145-146
Create/Edit Resource panel|Resource Content (content) resource field,145-146
resource fields|content (Resource Content),145-146

isfolder (Container) resource field,146
Create/Edit Resource panel|isfolder (Container) resource field,146
Container (isfolder) resource field,146
resource fields|isfolder (Container),146
container_suffix system setting,146
system settings|container_suffix,146

richtext resource field,147
resource fields|richtext (Rich Text),147
Create/Edit Resource panel|richtext (Rich Text) resource field,147
richtext editor,147
TinyMCE,147
editors|TinyMCE,147

publishedon (Published On) resource field,147
Create/Edit Resource panel|publishedon (Published On) resource field,147
resource fields|publishedon (Published On),147

pub_date (Publish Date) resource field,148
Publish Date (pub_date) resource field,148
Create/Edit Resource panel|pub_date (Publish Date) resource field,148
resource fields|pub_date (Publish Date),148

unpub_date (Unpublish Date) resource field,149
Create/Edit Resource panel|unpub_date (Unpublish Date) resource field,149
Unpublish Date (unpub_date) resource field,149
resource fields|unpub_date (Unpublish Date),149

searchable resource field,149
resource fields|searchable (Searchable),149
Create/Edit Resource panel|searchable resource field,149

cacheable resource field,150
resource fields|cacheable (Cacheable),150
Create/Edit Resource panel|cacheable resource field,150

Empty Cache checkbox,150
cache|empty cache checkbox,150
Create/Edit Resource panel|Empty Cache checkbox,150
cache|Empty Cache checkbox,150

content_type (Content Type) resource field,150
Create/Edit Resource panel|content_type (Content Type) resource field,150
resource fields|content_type (Content Type),150

content_dispo (Content Disposition) resource field,151
Content Disposition (content_dispo) resource field,151
Create/Edit Resource panel|content_dispo (Content Disposition) resource field,151
resource fields|content_dispo (Content Disposition),151

class_key (Class Key) resource field,151
Create/Edit Resource panel|class_key (Class Key) resource field,151
resource fields|class_key (Class Key),151

createdon (Created On) resource field,152
Create/Edit Resource panel|createdon (Created On) resource field,152
resource fields|createdon (Created On),152

createdby (Created By) resource field,152
Create/Edit Resource panel|createdby (Created By) resource field,152
resource fields|createdby (Created By),152

editedon (Edited On) resource field,153
Create/Edit Resource panel|editedon (Edited On) resource field,153
resource fields|editedon (Edited On),153

editedby (Edited By) resource field,153
Create/Edit Resource panel|editedby (Edited By) resource field,153
resource fields|editedby (Edited By),153

deletedon (Deleted On) resource field,153
Create/Edit Resource panel|deletedon (Deleted On) resource field,153
resource fields|deletedon (Deleted On),153

deletedby (Deleted By) resource field,153
Create/Edit Resource panel|deletedby (Deleted By) resource field,153
resource fields|deletedby (Deleted By),153

Freeze URI (uri_override) resource field,154
uri_override (Freeze URI) resource field,154
Create/Edit Resource panel|Freeze URI (uri_override) resource field,154
resource fields|uri_override (Freeze URI),154
Create/Edit Resource panel|Freeze URI resource field,154

uri resource field,154
resource fields|uri (URI),154
URI (uri) resource field,154
Create/Edit Resource panel|URI (uri) resource field,154

using|tags in documents,154-167
documents|using tags in,154-167
tags|using in documents,154-167
MODX|tags in documents,154-167
resources|using tags in,154-167
tags|quick reference,154
resource tags,154-156
tags|resource,154-156
chunk tags,157
tags|chunk,157
snippet tags,157-158
tags|snippet,157-158
setting tags,159-161
tags|setting,159-161
system settings|not in system setting grid,159
placeholder tags,161
tags|placeholder,161
link tags,161-163
tags|link,161-163
link tag properties,163
scheme property for link tags,163
context property for link tags,163
link tags|scheme property,163
link tags|context property,163
language tags,163-164
tags|language,163-164
tags|nested,164-165
nested tags,164-165
index.php file|MODX,165
MODX|index.php file,165
files|index.php (MODX),165
cache|control with tags,166
cache|exclamation point in tags,166
cache|tags and,166
tags|cached,166
tags|uncached,166
uncached tags,166
cached tags,166
filters,167
output modifiers reference,167-175
PHX in Revolution,167-175
conditional output modifiers|reference,167-169
if output modifier,168
output modifiers|if,168
output modifiers|input,168
input output modifier,168
output modifiers|is,168
is output modifier,168
output modifiers|equals,168
equals output modifier,168
output modifiers|eq,168
eq output modifier,168
output modifiers|equalto,168
equalto output modifier,168
output modifiers|isequal,168
isequal output modifier,168
output modifiers|isequalto,168
isequalto output modifier,168
output modifiers|isnot,168
isnot output modifier,168
output modifiers|isnt,168
isnt output modifier,168
output modifiers|ne,168
ne output modifier,168
output modifiers|neq,168
neq output modifier,168
output modifiers|notequals,168
notequals output modifier,168
output modifiers|notequalto,168
notequalto output modifier,168
output modifiers|gt,168
gt output modifier,168
output modifiers|isgt,168
isgt output modifier,168
output modifiers|lessthan,168
lessthan output modifier,168
output modifiers|lowerthan,168
lowerthan output modifier,168
output modifiers|islessthan,168
islessthan output modifier,168
output modifiers|islowerthan,168
islowerthan output modifier,168
output modifiers|gte,168
gte output modifier,168
output modifiers|isgte,168
isgte output modifier,168
output modifiers|eg,168
eg output modifier,168
output modifiers|ge,168
